state,fy_label,fy_start_date,fy_start_type,signed_date,days_late,budget_enacted,date_precision,enactment_type,source,notes
Alabama,FY2026,2025-10-01,Oct 1,2025-05-05,-149,yes,exact,direct,NASBO FY2026 Enacted; alabamareflector.com,AL FY starts Oct 1; $10B ETF + $3.7B GF
Alabama,FY2027,2026-10-01,Oct 1,2026-04-09,-175,yes,exact,direct,wsfa.com,Signed final day of session
Alaska,FY2015,2014-07-01,Jul 1,2014-05-28,-34,yes,exact,direct,NASBO Summaries of Fiscal Year 2015 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2015 enacted-budget narrative. Extracted quote: ""signed three budget bills into law on May 28..."""
Alaska,FY2016,2015-07-01,Jul 1,2015-06-29,-2,yes,exact,direct,NASBO Summaries of FY16 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2016 enacted-budget narrative. Extracted quote: ""signed both the state’s fiscal 2016 operating budget and the..."""
Alaska,FY2017,2016-07-01,Jul 1,2016-06-28,-3,yes,exact,direct,NASBO Summaries of FY17 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2017 enacted narrative (recovered via PyMuPDF; pypdf could not read this file). Quote: ""signed the state’s f iscal 2017 operating and capital budgets, as well as a special budget..."""
Alaska,FY2018,2017-07-01,Jul 1,2017-06-30,-1,yes,exact,direct,NASBO FY18 Proposed & Enacted Budget Summaries (nasbo.org),"Backfilled from the NASBO FY2018 enacted-budget narrative. Extracted quote: ""signed the state’s fiscal 2018 operating budget bills into l..."""
Alaska,FY2019,2018-07-01,Jul 1,2018-06-13,-18,yes,exact,direct,NASBO Summaries of FY19 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2019 enacted-budget narrative. Extracted quote: ""signed the state’s fiscal 2019 budget bills into law on June..."""
Alaska,FY2020,2019-07-01,Jul 1,2019-06-28,-3,yes,exact,direct,NASBO FY20 Summary of Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2020 enacted-budget narrative. Extracted quote: ""signed the state’s fiscal 2020 budget into law on June 28..."""
Alaska,FY2021,2020-07-01,Jul 1,2020-04-06,-86,yes,exact,direct,NASBO Summaries of Fiscal Year 2021 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2021 enacted-budget narrative. Extracted quote: ""signed the state’s fiscal 2021 budget into law on April 6..."""
Alaska,FY2022,2021-07-01,Jul 1,2021-07-01,0,yes,exact,direct,NASBO Fiscal 2022 Proposed & Enacted Budgets Summary (nasbo.org),"Backfilled from the NASBO FY2022 enacted-budget narrative. Extracted quote: ""signed the state’s fiscal 2022 budget into law on July 1..."""
Alaska,FY2023,2022-07-01,Jul 1,2022-06-28,-3,yes,exact,direct,NASBO Summaries of Fiscal Year 2023 Enacted Budgets (nasbo.org),Dunleavy signed with line-item vetoes; $9.6B all funds.
Alaska,FY2024,2023-07-01,Jul 1,2023-06-19,-12,yes,exact,direct,NASBO FY2024 Enacted Budget Summaries (nasbo.org),Dunleavy signed with line-item vetoes
Alaska,FY2025,2024-07-01,Jul 1,2024-06-28,-3,yes,exact,direct,NASBO FY2025 Enacted Budget Summaries (nasbo.org),Dunleavy signed with line-item vetoes
Alaska,FY2026,2025-07-01,Jul 1,2025-06-12,-19,yes,exact,direct,NASBO FY2026 Enacted; gov.alaska.gov,$122M vetoes
Alaska,FY2027,2026-07-01,Jul 1,2026-06-24,-7,yes,exact,direct,gov.alaska.gov; youralaskalink.com,"Dunleavy signed FY2027 budget with expanded support for school infrastructure and energy; $1,000 PFD"
Arizona,FY2015,2014-07-01,Jul 1,2014-04-11,-81,yes,exact,direct,NASBO Summaries of Fiscal Year 2015 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2015 enacted-budget narrative. Extracted quote: ""signed the fiscal 2015 state budget into law on April 11..."""
Arizona,FY2016,2015-07-01,Jul 1,2015-03-12,-111,yes,exact,direct,NASBO Summaries of FY16 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2016 enacted-budget narrative. Extracted quote: ""signed the state’s fiscal 2016 budget into law on March 12..."""
Arizona,FY2017,2016-07-01,Jul 1,2016-05-10,-52,yes,exact,direct,NASBO Summaries of FY17 Proposed & Enacted Budgets (nasbo.org),"Ducey signed the FY2017 budget May 10, 2016, bringing the state to positive structural balance for the first time since 2007."
Arizona,FY2018,2017-07-01,Jul 1,2017-05-12,-50,yes,exact,direct,NASBO FY18 Proposed & Enacted Budget Summaries (nasbo.org),"Backfilled from the NASBO FY2018 enacted-budget narrative. Extracted quote: ""signed the state’s fiscal 2018 budget into law on May 12..."""
Arizona,FY2019,2018-07-01,Jul 1,2018-05-03,-59,yes,exact,direct,NASBO Summaries of FY19 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2019 enacted-budget narrative. Extracted quote: ""signed the state’s fiscal 2019 budget into law on May 3..."""
Arizona,FY2020,2019-07-01,Jul 1,2019-05-31,-31,yes,exact,direct,NASBO FY20 Summary of Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2020 enacted-budget narrative. Extracted quote: ""signed the state’s fiscal 2020 budget into law on May 31..."""
Arizona,FY2021,2020-07-01,Jul 1,2020-03-28,-95,yes,exact,direct,NASBO Summaries of Fiscal Year 2021 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2021 enacted-budget narrative. Extracted quote: ""signed the state’s fiscal 2021 budget into law on March 28..."""
Arizona,FY2022,2021-07-01,Jul 1,2021-06-30,-1,yes,exact,direct,NASBO Fiscal 2022 Proposed & Enacted Budgets Summary (nasbo.org),"Backfilled from the NASBO FY2022 enacted-budget narrative. Extracted quote: ""signed the state’s fiscal 2022 budget into law on June 30..."""
Arizona,FY2023,2022-07-01,Jul 1,2022-06-28,-3,yes,exact,direct,NASBO Summaries of Fiscal Year 2023 Enacted Budgets (nasbo.org),"Ducey signed; $63.2B all funds, $15.8B general fund."
Arizona,FY2024,2023-07-01,Jul 1,2023-05-11,-51,yes,exact,direct,NASBO FY2024 Enacted Budget Summaries (nasbo.org),
Arizona,FY2025,2024-07-01,Jul 1,2024-06-18,-13,yes,exact,direct,NASBO FY2025 Enacted Budget Summaries (nasbo.org),
Arizona,FY2026,2025-07-01,Jul 1,2025-06-27,-4,yes,exact,direct,NASBO FY2026 Enacted; kawc.org,$17.6B; Hobbs vetoed two prior GOP budgets
Arizona,FY2027,2026-07-01,Jul 1,2026-06-13,-18,yes,exact,direct,azcapitoltimes.com,$18.3B bipartisan
Arkansas,FY2015,2014-07-01,Jul 1,2014-03-15,-108,yes,month-level estimate,direct,NASBO Summaries of Fiscal Year 2015 Proposed & Enacted Budgets (nasbo.org),Beebe signed the $5B FY2015 budget in March 2014; NASBO gives the month only.
Arkansas,FY2016,2015-07-01,Jul 1,2015-04-15,-77,yes,month-level estimate,direct,NASBO Summaries of FY16 Proposed & Enacted Budgets (nasbo.org),Hutchinson signed the $5.2B FY2016 budget in April 2015; NASBO gives the month only.
Arkansas,FY2017,2016-07-01,Jul 1,2016-04-15,-77,yes,month-level estimate,direct,senate.arkansas.gov 2016 fiscal session,Arkansas budgets via the Revenue Stabilization Act in its spring fiscal session. The 2016 fiscal session concluded in April; no exact signing day located.
Arkansas,FY2018,2017-07-01,Jul 1,2017-04-15,-77,yes,month-level estimate,direct,NASBO Summaries of FY Proposed & Enacted Budgets (nasbo.org),Hutchinson signed the $5.5B FY2018 revenue stabilization bill in April 2017; NASBO gives the month only.
Arkansas,FY2019,2018-07-01,Jul 1,2018-03-15,-108,yes,month-level estimate,direct,NASBO Summaries of FY Proposed & Enacted Budgets (nasbo.org),Hutchinson signed the $5.6B FY2019 fiscal-session bill in March 2018; NASBO gives the month only.
Arkansas,FY2020,2019-07-01,Jul 1,2019-04-17,-75,yes,exact,direct,NASBO FY20 Summary of Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2020 enacted-budget narrative. Extracted quote: ""On April 17, Arkansas Governor Asa Hutchinson signed..."""
Arkansas,FY2021,2020-07-01,Jul 1,2020-04-20,-72,yes,exact,direct,NASBO Summaries of Fiscal Year 2021 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2021 enacted-budget narrative. Extracted quote: ""On April 20, Arkansas Governor Asa Hutchinson signed..."""
Arkansas,FY2022,2021-07-01,Jul 1,2021-04-15,-77,yes,month-level estimate,direct,NASBO Fiscal 2022 summary; senate.arkansas.gov,NASBO records Hutchinson signing the $5.85B FY2022 general revenue budget 'in the spring' of 2021 without a date; anchored to mid-April.
Arkansas,FY2023,2022-07-01,Jul 1,2022-03-15,-108,yes,month-level estimate,direct,senate.arkansas.gov 2022 fiscal session,The 2022 fiscal session completed the Revenue Stabilization Act in March 2022; no exact signing day located.
Arkansas,FY2024,2023-07-01,Jul 1,2023-04-15,-77,yes,month-level estimate,direct,NASBO FY2024 Enacted Budget Summaries (nasbo.org),Sanders signed in April 2023; exact day not stated in NASBO summary
Arkansas,FY2025,2024-07-01,Jul 1,2024-05-03,-59,yes,exact,direct,NASBO FY2025 Enacted Budget Summaries (nasbo.org),$6.3B budget
Arkansas,FY2026,2025-07-01,Jul 1,2025-04-15,-77,yes,month-level estimate,direct,NASBO FY2026 Enacted,"Signed in April per NASBO; $6.5B. Re-checked during audit — NASBO's 'signed in April' held up, estimate appears accurate; exact day still unconfirmed."
Arkansas,FY2027,2026-07-01,Jul 1,2026-04-29,-63,yes,exact,direct,arkansasadvocate.com,$6.7B Revenue Stabilization Act
California,FY2015,2014-07-01,Jul 1,2014-06-20,-11,yes,exact,direct,NASBO Summaries of Fiscal Year 2015 Proposed & Enacted Budgets (nasbo.org),"Brown signed the $156.3B FY2015 budget Jun 20, 2014 after some vetoes."
California,FY2016,2015-07-01,Jul 1,2015-06-24,-7,yes,exact,direct,NASBO Summaries of FY16 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2016 enacted-budget narrative. Extracted quote: ""On June 24, California Governor Jerry Brown signed..."""
California,FY2017,2016-07-01,Jul 1,2016-06-27,-4,yes,exact,direct,NASBO Summaries of FY17 Proposed & Enacted Budgets (nasbo.org),"Brown signed the $170.9B FY2017 budget Jun 27, 2016 ($122.5B general fund, +6%)."
California,FY2018,2017-07-01,Jul 1,2017-06-27,-4,yes,exact,direct,NASBO FY18 Proposed & Enacted Budget Summaries (nasbo.org),"Backfilled from the NASBO FY2018 enacted-budget narrative. Extracted quote: ""On June 27, California Governor Jerry Brown signed..."""
California,FY2019,2018-07-01,Jul 1,2018-06-27,-4,yes,exact,direct,NASBO Summaries of FY19 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2019 enacted-budget narrative. Extracted quote: ""On June 27, California Governor Jerry Brown signed..."""
California,FY2020,2019-07-01,Jul 1,2019-06-27,-4,yes,exact,direct,NASBO FY20 Summary of Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2020 enacted-budget narrative. Extracted quote: ""signed the state’s fiscal 2020 budget into law on June 27..."""
California,FY2021,2020-07-01,Jul 1,2020-06-29,-2,yes,exact,direct,NASBO Summaries of Fiscal Year 2021 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2021 enacted-budget narrative. Extracted quote: ""signed the state’s fiscal 2021 budget into law on June 29..."""
California,FY2022,2021-07-01,Jul 1,2021-07-12,11,yes,exact,direct,NASBO Fiscal 2022 Proposed & Enacted Budgets Summary (nasbo.org),"Backfilled from the NASBO FY2022 enacted-budget narrative. Extracted quote: ""signed legislation comprising the majority of the state’s fi..."""
California,FY2023,2022-07-01,Jul 1,2022-06-30,-1,yes,exact,direct,gov.ca.gov,
California,FY2024,2023-07-01,Jul 1,2023-06-27,-4,yes,exact,direct,gov.ca.gov,
California,FY2025,2024-07-01,Jul 1,2024-06-29,-2,yes,exact,direct,gov.ca.gov,
California,FY2026,2025-07-01,Jul 1,2025-06-27,-4,yes,exact,direct,NASBO FY2026 Enacted; gov.ca.gov,$321.1B
California,FY2027,2026-07-01,Jul 1,2026-06-29,-2,yes,exact,direct,gov.ca.gov,
Colorado,FY2015,2014-07-01,Jul 1,2014-04-30,-62,yes,exact,direct,NASBO Summaries of Fiscal Year 2015 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2015 enacted-budget narrative. Extracted quote: ""signed the fiscal 2015 state budget on April 30..."""
Colorado,FY2016,2015-07-01,Jul 1,2015-04-24,-68,yes,exact,direct,NASBO Summaries of FY16 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2016 enacted-budget narrative. Extracted quote: ""signed the state’s fiscal 2016 budget on April 24..."""
Colorado,FY2017,2016-07-01,Jul 1,2016-05-03,-59,yes,exact,direct,NASBO Summaries of FY17 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2017 enacted narrative (recovered via PyMuPDF; pypdf could not read this file). Quote: ""signed the state’s fiscal 2017 budget on May 3..."""
Colorado,FY2018,2017-07-01,Jul 1,2017-05-26,-36,yes,exact,direct,NASBO Summaries of FY18 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2018 enacted narrative. Quote: ""signed the state’s fiscal 2018 operating budget on May 26..."""
Colorado,FY2019,2018-07-01,Jul 1,2018-04-30,-62,yes,exact,direct,NASBO Summaries of FY19 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2019 enacted-budget narrative. Extracted quote: ""signed the state’s fiscal 2019 budget on April 30..."""
Colorado,FY2020,2019-07-01,Jul 1,2019-04-18,-74,yes,exact,direct,NASBO FY20 Summary of Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2020 enacted-budget narrative. Extracted quote: ""signed the state’s fiscal 2020 budget into law on April 18..."""
Colorado,FY2021,2020-07-01,Jul 1,2020-06-22,-9,yes,exact,direct,NASBO Summaries of Fiscal Year 2021 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2021 enacted-budget narrative. Extracted quote: ""signed the state’s fiscal 2021 budget into law on June 22..."""
Colorado,FY2022,2021-07-01,Jul 1,2021-05-17,-45,yes,exact,direct,NASBO Fiscal 2022 Proposed & Enacted Budgets Summary (nasbo.org),"Backfilled from the NASBO FY2022 enacted-budget narrative. Extracted quote: ""signed the state’s fiscal 2022 budget bill into law on May 1..."""
Colorado,FY2023,2022-07-01,Jul 1,2022-04-25,-67,yes,exact,direct,NASBO Summaries of Fiscal Year 2023 Enacted Budgets (nasbo.org),Polis signed; $39.28B operating appropriations all funds.
Colorado,FY2024,2023-07-01,Jul 1,2023-05-01,-61,yes,exact,direct,NASBO FY2024 Enacted Budget Summaries (nasbo.org),
Colorado,FY2025,2024-07-01,Jul 1,2024-04-29,-63,yes,exact,direct,NASBO FY2025 Enacted Budget Summaries (nasbo.org),
Colorado,FY2026,2025-07-01,Jul 1,2025-04-28,-64,yes,exact,direct,NASBO FY2026 Enacted; coloradonewsline.com,$43.9B
Colorado,FY2027,2026-07-01,Jul 1,2026-05-08,-54,yes,exact,direct,cpr.org; coloradopolitics.com,$46.87B spending plan; closed $1.5B shortfall with Medicaid reimbursement cuts; Polis's last budget as governor
Connecticut,FY2015,2014-07-01,Jul 1,2014-05-29,-33,yes,exact,direct,NASBO Summaries of Fiscal Year 2015 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2015 enacted-budget narrative. Extracted quote: ""On May 29,  Connecticut Governor Dannel Malloy signed..."""
Connecticut,FY2016,2015-07-01,Jul 1,2015-06-30,-1,yes,exact,direct,ctnewsjunkie.com; ctmirror.org,Biennial FY16-17
Connecticut,FY2017,2016-07-01,Jul 1,2016-07-01,0,yes,exact,direct,NASBO Summaries of FY17 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2017 enacted narrative (recovered via PyMuPDF; pypdf could not read this file). Quote: ""signed the fiscal 2017 budget on July 1..."""
Connecticut,FY2018,2017-07-01,Jul 1,2017-10-31,122,yes,exact,direct,ctmirror.org 2017-10-31,Biennial FY18-19; executive order governed Jul-Oct
Connecticut,FY2019,2018-07-01,Jul 1,2018-05-15,-47,yes,exact,direct,NASBO Summaries of FY19 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2019 enacted-budget narrative. Extracted quote: ""signed the fiscal 2019 budget adjustment bill on May 15..."""
Connecticut,FY2020,2019-07-01,Jul 1,2019-06-26,-5,yes,exact,direct,cpajournal.com,Biennial FY20-21; Lamont's first
Connecticut,FY2021,2020-07-01,Jul 1,2019-06-26,-371,yes,exact,biennial carryover,cpajournal.com,Second year of the biennium enacted with FY2020 (signed 2019-06-26). Odd-year-session state: no separate FY2021 enactment.
Connecticut,FY2022,2021-07-01,Jul 1,2021-06-23,-8,yes,exact,direct,portal.ct.gov Bill Notification 2021-19; portal.ct.gov press release,Biennial FY22-23; Lamont signed $46.3B two-year budget. Row was present in original upload but dropped during cleaning; restored after primary-source verification.
Connecticut,FY2023,2022-07-01,Jul 1,2022-05-09,-53,yes,exact,direct,NASBO Summaries of Fiscal Year 2023 Enacted Budgets (nasbo.org),Lamont signed FY2023 budget adjustments to the FY22-23 biennium; $24.2B.
Connecticut,FY2024,2023-07-01,Jul 1,2023-06-12,-19,yes,exact,direct,portal.ct.gov press release 2023-06-12,Biennial FY24-25; Lamont signed
Connecticut,FY2025,2024-07-01,Jul 1,2023-06-12,-385,yes,exact,biennial carryover,portal.ct.gov press release 2023-06-12,Second year of the biennium enacted with FY2024 (signed 2023-06-12). Odd-year-session state: no separate FY2025 enactment.
Connecticut,FY2026,2025-07-01,Jul 1,2025-06-30,-1,yes,exact,direct,portal.ct.gov press release 2025-06-30,Biennial FY26-27; balanced and under spending cap
Connecticut,FY2027,2026-07-01,Jul 1,2026-05-26,-36,yes,exact,direct,portal.ct.gov press release 2026-05-26 (Public Act 26-68),"NOT a carryover: Lamont signed the FY2027 budget adjustment bill (Public Act 26-68) May 26, 2026. Bipartisan; ~$300M Early Childhood Education Endowment, $193M supplemental education grants. Replaces the prior placeholder that duplicated the FY2026 biennial signing."
Delaware,FY2015,2014-07-01,Jul 1,2014-07-01,0,yes,exact,direct,NASBO Summaries of Fiscal Year 2015 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2015 enacted-budget narrative. Extracted quote: ""On July 1, Delaware Governor Jack Markell signed..."""
Delaware,FY2016,2015-07-01,Jul 1,2015-07-01,0,yes,exact,direct,NASBO Summaries of FY16 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2016 enacted-budget narrative. Extracted quote: ""On July 1, Delaware Governor Jack Markell signed..."""
Delaware,FY2017,2016-07-01,Jul 1,2016-07-01,0,yes,exact,direct,news.delaware.gov 2016-07-01,"Markell signed the balanced FY2017 budget in the early morning of Jul 1, 2016 — the first day of the fiscal year."
Delaware,FY2018,2017-07-01,Jul 1,2017-07-03,2,yes,exact,direct,NASBO FY18 Proposed & Enacted Budget Summaries (nasbo.org),"Backfilled from the NASBO FY2018 enacted-budget narrative. Extracted quote: ""signed the fiscal 2018 budget on July 3..."""
Delaware,FY2019,2018-07-01,Jul 1,2018-06-28,-3,yes,exact,direct,NASBO Summaries of FY Proposed & Enacted Budgets (nasbo.org),"Carney signed the $4.2B FY2019 budget Jun 28, 2018."
Delaware,FY2020,2019-07-01,Jul 1,2019-06-25,-6,yes,exact,direct,NASBO Summaries of FY Proposed & Enacted Budgets (nasbo.org),"Carney signed the $4.4B FY2020 budget Jun 25, 2019."
Delaware,FY2021,2020-07-01,Jul 1,2020-06-30,-1,yes,exact,direct,NASBO Summaries of Fiscal Year 2021 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2021 enacted-budget narrative. Extracted quote: ""signed the fiscal 2021 budget on June 30..."""
Delaware,FY2022,2021-07-01,Jul 1,2021-06-30,-1,yes,exact,direct,NASBO Fiscal 2022 Proposed & Enacted Budgets Summary (nasbo.org),"Backfilled from the NASBO FY2022 enacted-budget narrative. Extracted quote: ""signed the fiscal 2022 budget on June 30..."""
Delaware,FY2023,2022-07-01,Jul 1,2022-06-28,-3,yes,exact,direct,NASBO Summaries of Fiscal Year 2023 Enacted Budgets (nasbo.org),"Carney signed a $5.0B general fund operating budget, +6.9%."
Delaware,FY2024,2023-07-01,Jul 1,2023-06-30,-1,yes,exact,direct,NASBO FY2024 Enacted Budget Summaries (nasbo.org),
Delaware,FY2025,2024-07-01,Jul 1,2024-06-30,-1,yes,exact,direct,NASBO FY2025 Enacted Budget Summaries (nasbo.org),
Delaware,FY2026,2025-07-01,Jul 1,2025-06-30,-1,yes,exact,direct,NASBO FY2026 Enacted,$6.5B; Budget Reset growth rate
Delaware,FY2027,2026-07-01,Jul 1,2026-06-30,-1,yes,exact,direct,coastalpoint.com,Meyer signed day before FY start
Florida,FY2015,2014-07-01,Jul 1,2014-06-02,-29,yes,exact,direct,NASBO Summaries of Fiscal Year 2015 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2015 enacted-budget narrative. Extracted quote: ""On June 2, Florida Governor Rick Scott signed..."""
Florida,FY2016,2015-07-01,Jul 1,2015-06-23,-8,yes,exact,direct,NASBO Summaries of FY16 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2016 enacted-budget narrative. Extracted quote: ""signed the state’s fiscal 2016 budget on June 23..."""
Florida,FY2017,2016-07-01,Jul 1,2016-03-15,-108,yes,exact,direct,NASBO Summaries of FY17 Proposed & Enacted Budgets (nasbo.org),"Scott signed the $82B FY2017 budget Mar 15, 2016 after vetoing $256.1M."
Florida,FY2018,2017-07-01,Jul 1,2017-06-02,-29,yes,exact,direct,NASBO FY18 Proposed & Enacted Budget Summaries (nasbo.org),"Backfilled from the NASBO FY2018 enacted-budget narrative. Extracted quote: ""On June 2, Florida Governor Rick Scott signed..."""
Florida,FY2019,2018-07-01,Jul 1,2018-03-16,-107,yes,exact,direct,NASBO Summaries of FY19 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2019 enacted-budget narrative. Extracted quote: ""On March 16, Florida Governor Rick Scott signed..."""
Florida,FY2020,2019-07-01,Jul 1,2019-06-21,-10,yes,exact,direct,NASBO FY20 Summary of Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2020 enacted-budget narrative. Extracted quote: ""On June 21, Florida Governor Ron DeSantis signed..."""
Florida,FY2021,2020-07-01,Jul 1,2020-06-29,-2,yes,exact,direct,NASBO Summaries of Fiscal Year 2021 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2021 enacted-budget narrative. Extracted quote: ""On June 29, Florida Governor Ron DeSantis signed..."""
Florida,FY2022,2021-07-01,Jul 1,2021-06-02,-29,yes,exact,direct,NASBO Fiscal 2022 Proposed & Enacted Budgets Summary (nasbo.org),"Backfilled from the NASBO FY2022 enacted-budget narrative. Extracted quote: ""On June 2, Florida Governor Ron DeSantis signed..."""
Florida,FY2023,2022-07-01,Jul 1,2022-06-02,-29,yes,exact,direct,floridapolitics.com; flgov.com,"DeSantis signed the $109.9B FY2023 'Freedom First' budget Jun 2, 2022 after $3.1B in line-item vetoes — the largest veto total in state history."
Florida,FY2024,2023-07-01,Jul 1,2023-06-15,-16,yes,exact,direct,NASBO FY2024 Enacted Budget Summaries (nasbo.org),
Florida,FY2025,2024-07-01,Jul 1,2024-06-12,-19,yes,exact,direct,flgov.com,
Florida,FY2026,2025-07-01,Jul 1,2025-06-30,-1,yes,exact,direct,NASBO FY2026 Enacted,$567M in vetoes
Florida,FY2027,2026-07-01,Jul 1,2026-06-29,-2,yes,exact,direct,flgov.com,
Georgia,FY2015,2014-07-01,Jul 1,2014-04-28,-64,yes,exact,direct,NASBO Summaries of Fiscal Year 2015 Proposed & Enacted Budgets (nasbo.org),"Deal signed the $20.8B FY2015 budget Apr 28, 2014."
Georgia,FY2016,2015-07-01,Jul 1,2015-05-11,-51,yes,exact,direct,NASBO Summaries of FY16 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2016 enacted-budget narrative. Extracted quote: ""On May 11, Georgia Governor Nathan Deal signed..."""
Georgia,FY2017,2016-07-01,Jul 1,2016-05-02,-60,yes,exact,direct,NASBO Summaries of FY17 Proposed & Enacted Budgets (nasbo.org),"Deal signed the $23.7B FY2017 budget May 2, 2016 (+8.7% over original FY2016)."
Georgia,FY2018,2017-07-01,Jul 1,2017-05-01,-61,yes,exact,direct,NASBO FY18 Proposed & Enacted Budget Summaries (nasbo.org),"Backfilled from the NASBO FY2018 enacted-budget narrative. Extracted quote: ""On May 1, Georgia Governor Nathan Deal signed..."""
